software,case,maxh,time_s,num_triangles,triangles_per_s,notes
CDT,A,,0.0,2,0.0,sanity
CDT,B,,0.0,9,0.0,sanity
CDT,C,100.0,2.41624690964818,1107,458.14854251016334,
CDT,D,100.0,2.400000963360071,1107,461.2498148543106,
CDT,D,50.0,2.4708243273198605,1157,468.26477593209347,
CDT,D,20.0,3.0312135480344296,1623,535.4291191567231,
CDT,D,10.0,3.695081613957882,2177,589.1615470079342,
CDT,D,5.0,4.265861356630921,2651,621.445419429594,
CDT,D,2.0,4.86790063790977,3145,646.0690621964776,
CDT,D,1.0,5.042744627222419,3289,652.2241840772344,
