software,case,maxh,time_s,num_triangles,triangles_per_s,notes
Geogram,A,,0.0,2,0.0,sanity
Geogram,B,,0.0,9,0.0,sanity
Geogram,C,100.0,0.28154625557363033,2332,8282.83080962564,
Geogram,D,100.0,0.29194288328289986,2332,7987.863837530968,
Geogram,D,50.0,1.0789260175079107,4512,4181.93641341763,
Geogram,D,20.0,5.642805982381105,16548,2932.583550040331,
Geogram,D,10.0,21.244863137602806,45693,2150.7787413854735,
Geogram,D,5.0,84.39210001938045,132771,1573.2633738170925,
Geogram,D,2.0,624.8744919486344,552710,884.5136217297114,
Geogram,D,1.0,-1.0,-1,0.0,FAILED: FeatureMissing: requested maxh=1.0 below supported minimum 2.0
