software,case,maxh,time_s,num_triangles,triangles_per_s,notes
JIGSAW,A,,0.0,5824,0.0,sanity
JIGSAW,B,,0.0,5833,0.0,sanity
JIGSAW,C,100.0,0.01726388745009899,86,4981.496794889431,
JIGSAW,D,100.0,0.017086058855056763,86,5033.343308105695,
JIGSAW,D,50.0,0.027306342497467995,305,11169.566192480059,
JIGSAW,D,20.0,0.18152589537203312,1669,9194.280499646748,
JIGSAW,D,10.0,0.928955240175128,6247,6724.758879472284,
JIGSAW,D,5.0,4.706228965893388,23846,5066.901796069604,
JIGSAW,D,2.0,44.37597387097776,146547,3302.3951299881874,
JIGSAW,D,1.0,178.82155859656632,582204,3255.781934623957,
