software,case,maxh,time_s,num_triangles,triangles_per_s,notes
Triangle,A,,0.0,2,0.0,sanity
Triangle,B,,0.0,9,0.0,sanity
Triangle,C,100.0,0.015474503859877586,642,41487.598298035424,
Triangle,D,100.0,0.01520008035004139,642,42236.61883460056,
Triangle,D,50.0,0.015062561258673668,642,42622.23329583532,
Triangle,D,20.0,0.015170570462942123,646,42582.44616298478,
Triangle,D,10.0,0.015751242637634277,688,43679.09350568754,
Triangle,D,5.0,0.020485613495111465,1222,59651.61845368258,
Triangle,D,2.0,0.06728250719606876,6503,96652.16519131087,
Triangle,D,1.0,0.23734964057803154,25934,109264.96428156117,
