software,case,maxh,time_s,num_triangles,triangles_per_s,notes
triangle,A,,0.0,2,0.0,sanity
triangle,B,,0.0,9,0.0,sanity
triangle,C,100.0,0.029282353818416595,4768,162828.4402806872,
triangle,D,100.0,0.025766314938664436,4768,185047.80413303227,
triangle,D,50.0,0.02559974044561386,4771,186369.0770668513,
triangle,D,20.0,0.029028525575995445,5146,177273.902063265,
triangle,D,10.0,0.04437193274497986,8650,194943.0521702628,
triangle,D,5.0,0.12220151722431183,26695,218450.6428917649,
triangle,D,2.0,0.6702352203428745,160711,239782.9823353427,
triangle,D,1.0,2.8978781178593636,640816,221132.8337277915,
